상병기호,한글명,영문명,완전코드구분,주상병사용구분,법정감염병구분,성별구분,상한연령,하한연령,양한방구분
A00,콜레라,Cholera,N,,제2급,,,,양·한방 공통
A000,비브리오 콜레라 01 콜레라형균에 의한 콜레라,"Cholera due to Vibrio cholerae 01, biovar cholerae",,,제2급,,,,양·한방 공통
A000,고전적 콜레라,Classical cholera,,,,,,,양·한방 공통
A001,비브리오 콜레라 01 엘토르형균에 의한 콜레라,"Cholera due to Vibrio cholerae 01, biovar eltor",,,제2급,,,,양·한방 공통
A001,엘토르 콜레라,Cholera eltor,,,,,,,양·한방 공통
A009,상세불명의 콜레라,"Cholera, unspecified",,,제2급,,,,양·한방 공통
A01,장티푸스 및 파라티푸스,Typhoid and paratyphoid fevers,N,,,,,,양·한방 공통
A010,장티푸스,Typhoid fever,,,제2급,,,,양·한방 공통
A010,장티푸스균에 의한 감염,Infection due to Salmonella typhi,,,,,,,양·한방 공통
A011,파라티푸스 A,Paratyphoid fever A,,,제2급,,,,양·한방 공통
A012,파라티푸스 B,Paratyphoid fever B,,,제2급,,,,양·한방 공통
A013,파라티푸스 C,Paratyphoid fever C,,,제2급,,,,양·한방 공통
A014,상세불명의 파라티푸스,"Paratyphoid fever, unspecified",,,제2급,,,,양·한방 공통
A014,파라티푸스균에 의한 감염 NOS,Infection due to Salmonella paratyphi NOS,,,,,,,양·한방 공통
A02,기타 살모넬라감염,Other salmonella infections,N,,,,,,양·한방 공통
A02,살모넬라 티피와 살모넬라 파라티피 이외의 살모넬라종에 의하여 생긴 감염 또는 식중독,Infection or foodborne intoxication due to any Salmonella species other than S. Typhi and S. Paratyphi,N,,,,,,양·한방 공통
A020,살모넬라장염,Salmonella enteritis,,,제4급,,,,양·한방 공통
A020,살모넬라증,Salmonellosis,,,,,,,양·한방 공통
A021,살모넬라패혈증,Salmonella sepsis,,,,,,,양·한방 공통
A022,국소적 살모넬라감염,Localized salmonella infections,,,,,,,양·한방 공통
A022,살모넬라 골수염(M90.2*),Salmonella osteomyelitis(M90.2*),,,,,,,양·한방 공통
A022,살모넬라 관절염(M01.3*),Salmonella arthritis(M01.3*),,,,,,,양·한방 공통
A022,살모넬라 수막염(G01*),Salmonella meningitis(G01*),,,,,,,양·한방 공통
A022,살모넬라 신세뇨관-간질병(N16.0*),Salmonella renal tubulo-interstitial disease(N16.0*),,,,,,,양·한방 공통
A022,살모넬라 폐렴(J17.0*),Salmonella pneumonia(J17.0*),,,,,,,양·한방 공통
A028,기타 명시된 살모넬라감염,Other specified salmonella infections,,,,,,,양·한방 공통
A029,상세불명의 살모넬라감염,"Salmonella infection, unspecified",,,,,,,양·한방 공통
A03,시겔라증,Shigellosis,N,,제2급,,,,양·한방 공통
A030,이질이질균에 의한 시겔라증,Shigellosis due to Shigella dysenteriae,,,제2급,,,,양·한방 공통
A030,A군 시겔라증[시가-크루세 이질],Group A shigellosis [Shiga-Kruse dysentery],,,,,,,양·한방 공통
A031,플렉스네리이질균에 의한 시겔라증,Shigellosis due to Shigella flexneri,,,제2급,,,,양·한방 공통
A031,B군시겔라증,Group B shigellosis,,,,,,,양·한방 공통
A032,보이디이질균에 의한 시겔라증,Shigellosis due to Shigella boydii,,,제2급,,,,양·한방 공통
A032,C군 시겔라증,Group C shigellosis,,,,,,,양·한방 공통
A033,소네이이질균에 의한 시겔라증,Shigellosis due to Shigella sonnei,,,제2급,,,,양·한방 공통
A033,D군 시겔라증,Group D shigellosis,,,,,,,양·한방 공통
A038,기타 시겔라증,Other shigellosis,,,제2급,,,,양·한방 공통
A039,상세불명의 시겔라증,"Shigellosis, unspecified",,,제2급,,,,양·한방 공통
A039,세균이질 NOS,Bacillary dysentery NOS,,,,,,,양·한방 공통
A04,기타 세균성 장감염,Other bacterial intestinal infections,N,,,,,,양·한방 공통
A040,장병원성 대장균감염,Enteropathogenic Escherichia coli infection,,,제4급,,,,양·한방 공통
A041,장독소생산 대장균감염,Enterotoxigenic Escherichia coli infection,,,제4급,,,,양·한방 공통
A042,장침투성 대장균감염,Enteroinvasive Escherichia coli infection,,,제4급,,,,양·한방 공통
A043,장출혈성 대장균감염,Enterohaemorrhagic Escherichia coli infection,,,제2급,,,,양·한방 공통
A044,기타 장대장균감염,Other intestinal Escherichia coli infection,,,,,,,양·한방 공통
A044,대장균장염 NOS,Escherichia coli enteritis NOS,,,,,,,양·한방 공통
A045,캄필로박터장염,Campylobacter enteritis,,,제4급,,,,양·한방 공통
A046,예르시니아 엔테로콜리티카에 의한 장염,Enteritis due to Yersinia enterocolitica,,,제4급,,,,양·한방 공통
A047,클로스트리듐 디피실리에 의한 장결장염,Enterocolitis due to Clostridium difficile,,,,,,,양·한방 공통
A047,거짓막성 결장염,Pseudomembranous colitis,,,,,,,양·한방 공통
A047,클로스트리듐 디피실리에 의한 식중독,Foodborne intoxication by Clostridium difficile,,,,,,,양·한방 공통
A048,기타 명시된 세균성 장감염,Other specified bacterial intestinal infections,,,,,,,양·한방 공통
A049,상세불명의 세균성 장감염,"Bacterial intestinal infection, unspecified",,,,,,,양·한방 공통
A049,세균성 장염 NOS,Bacterial enteritis NOS,,,,,,,양·한방 공통
A05,달리 분류되지 않은 기타 세균성 음식매개중독,"Other bacterial foodborne intoxications, NEC",N,,,,,,양·한방 공통
A050,음식매개포도알균중독,Foodborne staphylococcal intoxication,,,제4급,,,,양·한방 공통
A051,보틀리눔중독,Botulism,,,제1급,,,,양·한방 공통
A051,클로스트리듐 보툴리눔에 의한 고전적 식중독,Classical foodborne intoxication due to Clostridium botulinum,,,,,,,양·한방 공통
A052,클로스트리듐 퍼프린젠스[클로스트리듐 웰치]에 의한 식중독,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,,,제4급,,,,양·한방 공통
A052,괴사성 장염,Enteritis necroticans,,,,,,,양·한방 공통
A053,장염비브리오균에 의한 식중독,Foodborne Vibrio parahaemolyticus intoxication,,,제4급,,,,양·한방 공통
A054,바실루스 세레우스에 의한 식중독,Foodborne Bacillus cereus intoxication,,,제4급,,,,양·한방 공통
A058,기타 명시된 세균성 식중독,Other specified bacterial foodborne intoxications,,,,,,,양·한방 공통
A059,상세불명의 세균성 식중독,"Bacterial foodborne intoxication, unspecified",,,,,,,양·한방 공통
A06,아메바증,Amoebiasis,N,,,,,,양·한방 공통
A06,이질아메바에 의한 감염,Infection due to Entamoeba histolytica,N,,,,,,양·한방 공통
A060,급성 아메바이질,Acute amoebic dysentery,,,제4급,,,,양·한방 공통
A060,급성 아메바증,Acute amoebiasis,,,,,,,양·한방 공통
A060,장아메바증 NOS,Intestinal amoebiasis NOS,,,,,,,양·한방 공통
A061,만성 장아메바증,Chronic intestinal amoebiasis,,,제4급,,,,양·한방 공통
A062,아메바성 비이질성 결장염,Amoebic nondysenteric colitis,,,,,,,양·한방 공통
A063,장의 아메바종,Amoeboma of intestine,,,제4급,,,,양·한방 공통
A063,아메바종 NOS,Amoeboma NOS,,,,,,,양·한방 공통
A064,아메바성 간농양(K77.0*),Amoebic liver abscess(K77.0*),,,,,,,양·한방 공통
A064,간아메바증(K77.0*),Hepatic amoebiasis(K77.0*),,,,,,,양·한방 공통
A065,아메바성 폐농양,Amoebic lung abscess,,,,,,,양·한방 공통
A065,폐(및 간)의 아메바성 농양(J99.8*),Amoebic abscess of lung (and liver)(J99.8*),,,,,,,양·한방 공통
A065,폐렴을 동반한 폐(및 간)의 아메바성 농양(J17.3*),Amoebic abscess of lung (and liver) with pneumonia(J17.3*),,,,,,,양·한방 공통
A066,아메바성 뇌농양(G07*),Amoebic brain abscess(G07*),,,,,,,양·한방 공통
A066,"뇌(및 간, 및 폐)의 아메바성 농양(G07*)","Amoebic abscess of brain(and liver, and lung)(G07*)",,,,,,,양·한방 공통
A067,피부아메바증,Cutaneous amoebiasis,,,,,,,양·한방 공통
A068,기타 부위의 아메바성 감염,Amoebic infection of other sites,,,,,,,양·한방 공통
A068,아메바성 귀두염(N51.2*),Amoebic balanitis(N51.2*),,,,,,,양·한방 공통
A068,아메바성 충수염,Amoebic appendicitis,,,,,,,양·한방 공통
A069,상세불명의 아메바증,"Amoebiasis, unspecified",,,,,,,양·한방 공통
A07,기타 원충성 장질환,Other protozoal intestinal diseases,N,,,,,,양·한방 공통
A070,대장섬모충증,Balantidiasis,,,,,,,양·한방 공통
A070,대장섬모충이질,Balantidial dysentery,,,,,,,양·한방 공통
A071,편모충증[람블편모충증],Giardiasis [lambliasis],,,제4급,,,,양·한방 공통
A072,와포자충증,Cryptosporidiosis,,,제4급,,,,양·한방 공통
A073,등포자충증,Isosporiasis,,,,,,,양·한방 공통
A073,등포자충증,Isosporosis,,,,,,,양·한방 공통
A073,아이소스포라 벨리와 아이소스포라 호미니스에 의한 감염,Infection due to Isospora belli and Isospora hominis,,,,,,,양·한방 공통
A073,장콕시디아증,Intestinal coccidiosis,,,,,,,양·한방 공통
A078,기타 명시된 원충성 장질환,Other specified protozoal intestinal diseases,,,제4급,,,,양·한방 공통
A078,장편모충증,Intestinal trichomoniasis,,,,,,,양·한방 공통
A079,상세불명의 원충성 장질환,"Protozoal intestinal disease, unspecified",,,,,,,양·한방 공통
A079,원충성 결장염,Protozoal colitis,,,,,,,양·한방 공통
A079,원충성 설사,Protozoal diarrhoea,,,,,,,양·한방 공통
A079,원충성 이질,Protozoal dysentery,,,,,,,양·한방 공통
A079,편모충성 설사,Flagellate diarrhoea,,,,,,,양·한방 공통
A08,바이러스성 및 기타 명시된 장감염,Viral and other specified intestinal infections,N,,,,,,양·한방 공통
A080,로타바이러스장염,Rotaviral enteritis,,,제4급,,,,양·한방 공통
A081,노로바이러스에 의한 급성 위장병증,Acute gastroenteropathy due to Norovirus,,,제4급,,,,양·한방 공통
A081,노로바이러스장염,Norovirus enteritis,,,,,,,양·한방 공통
A081,소형구형바이러스장염,Small round structured virus enteritis,,,,,,,양·한방 공통
A082,아데노바이러스장염,Adenoviral enteritis,,,제4급,,,,양·한방 공통
A083,기타 바이러스장염,Other viral enteritis,N,,,,,,양·한방 공통
A0830,사포바이러스 위장염,Sapoviral gastroenteritis,,,제4급,,,,양·한방 공통
A0831,아스트로바이러스 위장염,Astroviral gastroenteritis,,,제4급,,,,양·한방 공통
A0838,기타 바이러스장염,Other viral enteritis,,,,,,,양·한방 공통
A084,상세불명의 바이러스성 장감염,"Viral intestinal infection, unspecified",,,,,,,양·한방 공통
A084,바이러스성 위장병증 NOS,Viral gastroenteropathy NOS,,,,,,,양·한방 공통
A084,바이러스성 위장염 NOS,Viral gastroenteritis NOS,,,,,,,양·한방 공통
A084,바이러스성 장염 NOS,Viral enteritis NOS,,,,,,,양·한방 공통
A085,기타 명시된 장감염,Other specified intestinal infections,,,,,,,양·한방 공통
A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,Other gastroenteritis and colitis of infectious and unspecified origin,N,,,,,,양·한방 공통
A090,감염성 기원의 기타 및 상세불명의 위장염 및 결장염,Other and unspecified gastroenteritis and colitis of infectious origin,,,,,,,양·한방 공통
A090,감염성 (신생아의) 설사 NOS,Infectious (neonatal) diarrhoea NOS,,,,,,,양·한방 공통
A090,감염성 또는 패혈성 출혈성 결장염 NOS,Infectious or septic haemorrhagic colitis NOS,,,,,,,양·한방 공통
A090,감염성 또는 패혈성 출혈성 위장염 NOS,Infectious or septic haemorrhagic gastroenteritis NOS,,,,,,,양·한방 공통
A090,감염성 또는 패혈성 출혈성 장염 NOS,Infectious or septic haemorrhagic enteritis NOS,,,,,,,양·한방 공통
A090,급성 물성 설사,Acute watery diarrhoea,,,,,,,양·한방 공통
A090,급성 출혈성 설사,Acute hemorrhagic diarrhoea,,,,,,,양·한방 공통
A090,급성 혈액성 설사,Acute bloody diarrhoea,,,,,,,양·한방 공통
A090,유행 설사,Epidemic diarrhoea,,,,,,,양·한방 공통
A090,이질성 설사,Dysenteric diarrhoea,,,,,,,양·한방 공통
A090,장성 카타르,"Catarrh, enteric or intestinal",,,,,,,양·한방 공통
A099,상세불명 기원의 위장염 및 결장염,Gastroenteritis and colitis of unspecified origin,,,,,,,양·한방 공통
A099,신생아의 설사 NOS,Neonatal diarrhoea NOS,,,,,,,양·한방 공통
A099,주하(注下),Dysentery disorder,,,,,,,양·한방 공통
A15,세균학적 및 조직학적으로 확인된 호흡기결핵,"Respiratory tuberculosis, bacteriologically and histologically confirmed",N,,,,,,양·한방 공통
A150,배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",N,,제2급,,,,양·한방 공통
A150,세균학적으로 확인된 폐결핵,"Tuberculosis of lung, bacteriologically confirmed",N,,,,,,양·한방 공통
A150,배양 유무에 관계없이 세균학적으로 확인된 결핵성 기관지 확장증,"Tuberculous bronchiectasis, confirmed by bacteriologically with or without culture",N,,,,,,양·한방 공통
A150,배양 유무에 관계없이 세균학적으로 확인된 결핵성 폐섬유증,"Tuberculous fibrosis of lung, confirmed by bacteriologically with or without culture",N,,,,,,양·한방 공통
A150,배양 유무에 관계없이 세균학적으로 확인된 결핵성 폐렴,"Tuberculous pneumonia, confirmed by bacteriologically with or without culture",N,,,,,,양·한방 공통
A150,배양 유무에 관계없이 세균학적으로 확인된 결핵성 기흉,"Tuberculous pneumothorax, confirmed by bacteriologically with or without culture",N,,,,,,양·한방 공통
A1500,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 폐결핵,"Tuberculosis of lung with cavitation, confirmed by sputum microscopy with or without culture",,,제2급,,,,양·한방 공통
A1500,세균학적으로 확인된 공동이 있는 폐결핵,"Tuberculosis of lung with cavitation, bacteriologically confirmed",,,,,,,양·한방 공통
A1500,배양 유무에 관계없이 세균학적으로 확인된 공동이 있는 결핵성 기관지 확장증,"Tuberculous bronchiectasis with cavitation, confirmed by bacteriologically with or without culture",,,,,,,양·한방 공통
A1500,배양 유무에 관계없이 세균학적으로 확인된 공동이 있는 결핵성 폐섬유증,"Tuberculous fibrosis of lung with cavitation, confirmed by bacteriologically with or without culture",,,,,,,양·한방 공통
A1500,배양 유무에 관계없이 세균학적으로 확인된 공동이 있는 결핵성 폐렴,"Tuberculous pneumonia with cavitation, confirmed by bacteriologically with or without culture",,,,,,,양·한방 공통
A1500,배양 유무에 관계없이 세균학적으로 확인된 공동이 있는 결핵성 기흉,"Tuberculous pneumothorax with cavitation, confirmed by bacteriologically with or without culture",,,,,,,양·한방 공통
A1501,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵,"Tuberculosis of lung without cavitation or unspecified, confirmed by sputum microscopy with or without culture",,,제2급,,,,양·한방 공통
A1501,세균학적으로 확인된 공동이 없거나 상세불명의 폐결핵,"Tuberculosis of lung without cavitation or unspecified, bacteriologically confirmed",,,,,,,양·한방 공통
A1501,배양 유무에 관계없이 세균학적으로 확인된 공동이 없거나 상세불명의 결핵성 기관지 확장증,"Tuberculous bronchiectasis without cavitation or unspecified, confirmed by bacteriologically with or without culture",,,,,,,양·한방 공통
A1501,배양 유무에 관계없이 세균학적으로 확인된 공동이 없거나 상세불명의 결핵성 폐섬유증,"Tuberculous fibrosis of lung without cavitation or unspecified, confirmed by bacteriologically with or without culture",,,,,,,양·한방 공통
A1501,배양 유무에 관계없이 세균학적으로 확인된 공동이 없거나 상세불명의 결핵성 폐렴,"Tuberculous pneumonia without cavitation or unspecified, confirmed by bacteriologically with or without culture",,,,,,,양·한방 공통
A1501,배양 유무에 관계없이 세균학적으로 확인된 공동이 없거나 상세불명의 결핵성 기흉,"Tuberculous pneumothorax without cavitation or unspecified, confirmed by bacteriologically with or without culture",,,,,,,양·한방 공통
A151,배양만으로 확인된 폐결핵,"Tuberculosis of lung, confirmed by culture only",N,,제2급,,,,양·한방 공통
A151,"A15.0에 열거된 병태, 배양만으로 확인된 것","Conditions listed in A15.0, confirmed by culture only",N,,,,,,양·한방 공통
A151,배양만으로 확인된 결핵성 기관지 확장증,"Tuberculous bronchiectasis, confirmed by culture only",N,,,,,,양·한방 공통
A151,배양만으로 확인된 결핵성 기흉,"Tuberculous pneumothorax, confirmed by culture only",N,,,,,,양·한방 공통
A151,배양만으로 확인된 결핵성 폐렴,"Tuberculous pneumonia, confirmed by culture only",N,,,,,,양·한방 공통
A151,배양만으로 확인된 결핵성 폐섬유증,"Tuberculous fibrosis of lung, confirmed by culture only",N,,,,,,양·한방 공통
A1510,배양만으로 확인된 공동이 있는 폐결핵,"Tuberculosis of lung with cavitation, confirmed by culture only",,,제2급,,,,양·한방 공통
A1510,"A15.0에 열거된 공동이 있는 병태, 배양만으로 확인된 것","Conditions with cavitation listed in A15.0, confirmed by culture only",,,,,,,양·한방 공통
A1510,배양만으로 확인된 공동이 있는 결핵성 기관지 확장증,"Tuberculous bronchiectasis with cavitation, confirmed by culture only",,,,,,,양·한방 공통
A1510,배양만으로 확인된 공동이 있는 결핵성 기흉,"Tuberculous pneumothorax with cavitation, confirmed by culture only",,,,,,,양·한방 공통
A1510,배양만으로 확인된 공동이 있는 결핵성 폐렴,"Tuberculous pneumonia with cavitation, confirmed by culture only",,,,,,,양·한방 공통
A1510,배양만으로 확인된 공동이 있는 결핵성 폐섬유증,"Tuberculous fibrosis of lung with cavitation, confirmed by culture only",,,,,,,양·한방 공통
A1511,배양만으로 확인된 공동이 없거나 상세불명의 폐결핵,"Tuberculosis of lung without cavitation or unspecified, confirmed by culture only",,,제2급,,,,양·한방 공통
A1511,"A15.0에 열거된 공동이 없거나 상세불명의 병태, 배양만으로 확인된 것","Conditions without cavitation or unspecified listed in A15.0, confirmed by culture only",,,,,,,양·한방 공통
A1511,배양만으로 확인된 공동이 없거나 상세불명의 결핵성 기관지 확장증,"Tuberculous bronchiectasis without cavitation or unspecified, confirmed by culture only",,,,,,,양·한방 공통
A1511,배양만으로 확인된 공동이 없거나 상세불명의 결핵성 기흉,"Tuberculous pneumothorax without cavitation or unspecified, confirmed by culture only",,,,,,,양·한방 공통
A1511,배양만으로 확인된 공동이 없거나 상세불명의 결핵성 폐렴,"Tuberculous pneumonia without cavitation or unspecified, confirmed by culture only",,,,,,,양·한방 공통
A1511,배양만으로 확인된 공동이 없거나 상세불명의 결핵성 폐섬유증,"Tuberculous fibrosis of lung without cavitation or unspecified, confirmed by culture only",,,,,,,양·한방 공통
A152,조직학적으로 확인된 폐결핵,"Tuberculosis of lung, confirmed histologically",N,,제2급,,,,양·한방 공통
A152,"A15.0에 열거된 병태, 조직학적으로 확인된 것","Conditions listed in A15.0, confirmed histologically",N,,,,,,양·한방 공통
A152,조직학적으로 확인된 결핵성 기관지 확장증,"Tuberculous bronchiectasis, confirmed histologically",N,,,,,,양·한방 공통
A152,조직학적으로 확인된 결핵성 기흉,"Tuberculous pneumothorax, confirmed histologically",N,,,,,,양·한방 공통
A152,조직학적으로 확인된 결핵성 폐렴,"Tuberculous pneumonia, confirmed histologically",N,,,,,,양·한방 공통
A152,조직학적으로 확인된 결핵성 폐섬유증,"Tuberculous fibrosis of lung, confirmed histologically",N,,,,,,양·한방 공통
A1520,조직학적으로 확인된 공동이 있는 폐결핵,"Tuberculosis of lung with cavitation, confirmed histologically",,,제2급,,,,양·한방 공통
A1520,"A15.0에 열거된 공동이 있는 병태, 조직학적으로 확인된 것","Conditions with cavitation listed in A15.0, confirmed histologically",,,,,,,양·한방 공통
A1520,조직학적으로 확인된 공동이 있는 결핵성 기관지 확장증,"Tuberculous bronchiectasis with cavitation, confirmed histologically",,,,,,,양·한방 공통
A1520,조직학적으로 확인된 공동이 있는 결핵성 기흉,"Tuberculous pneumothorax with cavitation, confirmed histologically",,,,,,,양·한방 공통
A1520,조직학적으로 확인된 공동이 있는 결핵성 폐렴,"Tuberculous pneumonia with cavitation, confirmed histologically",,,,,,,양·한방 공통
A1520,조직학적으로 확인된 공동이 있는 결핵성 폐섬유증,"Tuberculous fibrosis of lung with cavitation, confirmed histologically",,,,,,,양·한방 공통
A1521,조직학적으로 확인된 공동이 없거나 상세불명의 폐결핵,"Tuberculosis of lung without cavitation or unspecified, confirmed histologically",,,제2급,,,,양·한방 공통
A1521,"A15.0에 열거된 공동이 없거나 상세불명의 병태, 조직학적으로 확인된 것","Conditions without cavitation or unspecified listed in A15.0, confirmed histologically",,,,,,,양·한방 공통
A1521,조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 기관지 확장증,"Tuberculous bronchiectasis without cavitation or unspecified, confirmed histologically",,,,,,,양·한방 공통
A1521,조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 기흉,"Tuberculous pneumothorax without cavitation or unspecified, confirmed histologically",,,,,,,양·한방 공통
A1521,조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 폐렴,"Tuberculous pneumonia without cavitation or unspecified, confirmed histologically",,,,,,,양·한방 공통
A1521,조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 폐섬유증,"Tuberculous fibrosis of lung without cavitation or unspecified, confirmed histologically",,,,,,,양·한방 공통
A153,상세불명의 수단으로 확인된 폐결핵,"Tuberculosis of lung, confirmed by unspecified means",N,,제2급,,,,양·한방 공통
A153,"A15.0에 열거된 병태, 확인은 되었지만 세균학적인지 조직학적인지는 명시되지 않은 것","Conditions listed A15.0, confirmed but unspecified whether bacteriologically or histologically",N,,,,,,양·한방 공통
A153,상세불명의 수단으로 확인된 결핵성 기관지 확장증,"Tuberculous bronchiectasis, confirmed by unspecified means",N,,,,,,양·한방 공통
A153,상세불명의 수단으로 확인된 결핵성 기흉,"Tuberculous pneumothorax, confirmed by unspecified means",N,,,,,,양·한방 공통
A153,상세불명의 수단으로 확인된 결핵성 폐렴,"Tuberculous pneumonia, confirmed by unspecified means",N,,,,,,양·한방 공통
A153,상세불명의 수단으로 확인된 결핵성 폐섬유증,"Tuberculous fibrosis of lung, confirmed by unspecified means",N,,,,,,양·한방 공통
A1530,상세불명의 수단으로 확인된 공동이 있는 폐결핵,"Tuberculosis of lung with cavitation, confirmed by unspecified means",,,제2급,,,,양·한방 공통
A1530,"A15.0에 열거된 공동이 있는 병태, 상세불명의 수단으로 확인된 것","Conditions with cavitation listed in A15.0, confirmed by unspecified means",,,,,,,양·한방 공통
A1530,상세불명의 수단으로 확인된 공동이 있는 결핵성 기관지 확장증,"Tuberculous bronchiectasis with cavitation, confirmed by unspecified means",,,,,,,양·한방 공통
A1530,상세불명의 수단으로 확인된 공동이 있는 결핵성 기흉,"Tuberculous pneumothorax with cavitation, confirmed by unspecified means",,,,,,,양·한방 공통
A1530,상세불명의 수단으로 확인된 공동이 있는 결핵성 폐렴,"Tuberculous pneumonia with cavitation, confirmed by unspecified means",,,,,,,양·한방 공통
A1530,상세불명의 수단으로 확인된 공동이 있는 결핵성 폐섬유증,"Tuberculous fibrosis of lung with cavitation, confirmed by unspecified means",,,,,,,양·한방 공통
A1531,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵,"Tuberculosis of lung without cavitation or unspecified, confirmed by unspecified means",,,제2급,,,,양·한방 공통
A1531,"A15.0에 열거된 공동이 없거나 상세불명의 병태, 상세불명의 수단으로 확인된 것","Conditions without cavitation or unspecified listed in A15.0, confirmed by unspecified means",,,,,,,양·한방 공통
A1531,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 결핵성 기관지 확장증,"Tuberculous bronchiectasis without cavitation or unspecified, confirmed by unspecified means",,,,,,,양·한방 공통
A1531,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 결핵성 기흉,"Tuberculous pneumothorax without cavitation or unspecified, confirmed by unspecified means",,,,,,,양·한방 공통
A1531,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 결핵성 폐렴,"Tuberculous pneumonia without cavitation or unspecified, confirmed by unspecified means",,,,,,,양·한방 공통
A1531,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 결핵성 폐섬유증,"Tuberculous fibrosis of lung without cavitation or unspecified, confirmed by unspecified means",,,,,,,양·한방 공통
A154,세균학적 및 조직학적으로 확인된 흉곽내림프절의 결핵,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",N,,제2급,,,,양·한방 공통
A154,세균학적 및 조직학적으로 확인된 기관기관지림프절의 결핵,"Tuberculosis of tracheobronchial lymph nodes, confirmed bacteriologically and histologically",N,,,,,,양·한방 공통
A154,세균학적 및 조직학적으로 확인된 종격림프절의 결핵,"Tuberculosis of mediastinal lymph nodes, confirmed bacteriologically and histologically",N,,,,,,양·한방 공통
A154,세균학적 및 조직학적으로 확인된 폐문림프절의 결핵,"Tuberculosis of hilar lymph nodes, confirmed bacteriologically and histologically",N,,,,,,양·한방 공통
A1540,세균학적 및 조직학적으로 확인된 공동이 있는 흉곽내림프절의 결핵,"Tuberculosis of intrathoracic lymph nodes with cavitation, confirmed bacteriologically and histologically",,,제2급,,,,양·한방 공통
A1540,세균학적 및 조직학적으로 확인된 공동이 있는 기관기관지림프절의 결핵,"Tuberculosis of tracheobronchial lymph nodes with cavitation, confirmed bacteriologically and histologically",,,,,,,양·한방 공통
A1540,세균학적 및 조직학적으로 확인된 공동이 있는 종격림프절의 결핵,"Tuberculosis of mediastinal lymph nodes with cavitation, confirmed bacteriologically and histologically",,,,,,,양·한방 공통
A1540,세균학적 및 조직학적으로 확인된 공동이 있는 폐문림프절의 결핵,"Tuberculosis of hilar lymph nodes with cavitation, confirmed bacteriologically and histologically",,,,,,,양·한방 공통
A1541,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 흉곽내림프절의 결핵,"Tuberculosis of intrathoracic lymph nodes without cavitation or unspecified, confirmed bacteriologically and histologically",,,제2급,,,,양·한방 공통
A1541,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 폐문림프절의 결핵,"Tuberculosis of hilar lymph nodes without cavitation or unspecified, confirmed bacteriologically and histologically",,,,,,,양·한방 공통
A1541,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기관기관지림프절의 결핵,"Tuberculosis of tracheobronchial lymph nodes without cavitation or unspecified, confirmed bacteriologically and histologically",,,,,,,양·한방 공통
A1541,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 종격림프절의 결핵,"Tuberculosis of mediastinal lymph nodes without cavitation or unspecified, confirmed bacteriologically and histologically",,,,,,,양·한방 공통
A155,"세균학적 및 조직학적으로 확인된 후두, 기관 및 기관지의 결핵","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",N,,제2급,,,,양·한방 공통
A155,세균학적 및 조직학적으로 확인된 기관의 결핵,"Tuberculosis of trachea, confirmed bacteriologically and histologically",N,,,,,,양·한방 공통
A155,세균학적 및 조직학적으로 확인된 기관지의 결핵,"Tuberculosis of bronchus, confirmed bacteriologically and histologically",N,,,,,,양·한방 공통
A155,세균학적 및 조직학적으로 확인된 성문의 결핵,"Tuberculosis of glottis, confirmed bacteriologically and histologically",N,,,,,,양·한방 공통
A155,세균학적 및 조직학적으로 확인된 후두의 결핵,"Tuberculosis of larynx, confirmed bacteriologically and histologically",N,,,,,,양·한방 공통
A1550,"세균학적 및 조직학적으로 확인된 공동이 있는 후두, 기관 및 기관지의 결핵","Tuberculosis of larynx with cavitation, trachea and bronchus with cavitation, confirmed bacteriologically and histologically",,,제2급,,,,양·한방 공통
A1550,세균학적 및 조직학적으로 확인된 공동이 있는 기관의 결핵,"Tuberculosis of trachea with cavitation, confirmed bacteriologically and histologically",,,,,,,양·한방 공통
A1550,세균학적 및 조직학적으로 확인된 공동이 있는 기관지의 결핵,"Tuberculosis of bronchus with cavitation, confirmed bacteriologically and histologically",,,,,,,양·한방 공통
A1550,세균학적 및 조직학적으로 확인된 공동이 있는 성문의 결핵,"Tuberculosis of glottis with cavitation, confirmed bacteriologically and histologically",,,,,,,양·한방 공통
